"Period","x","y","Bearing","Distance_km"
"2010-2015",-86.499272781275,40.0373283082724,307.907616640646,42.0231670847115
"2010-2015",-86.4990032866898,40.0373283082724,307.929276725168,42.0070371650388
"2010-2015",-86.4987337921045,40.0373283082724,307.950957844796,41.9909136344113
"2010-2015",-86.4984642975193,40.0373283082724,307.972660023966,41.9747965001932
"2010-2015",-86.4998117704455,40.0370588136872,307.836557160942,42.0341612890437
"2010-2015",-86.4995422758602,40.0370588136872,307.858169909675,42.01801037233
"2010-2015",-86.499272781275,40.0370588136872,307.879803655373,42.001865826907
"2010-2015",-86.4990032866898,40.0370588136872,307.901458422471,41.9857276601267
"2010-2015",-86.4987337921045,40.0370588136872,307.923134235431,41.9695958793456
"2010-2015",-86.4984642975193,40.0370588136872,307.944831118734,41.9534704919321
"2010-2015",-86.4998117704455,40.0367893191019,307.808733870061,42.0128871069056
"2010-2015",-86.4995422758602,40.0367893191019,307.830341255576,41.9967279449079
"2010-2015",-86.499272781275,40.0367893191019,307.851969648703,41.980575151136
"2010-2015",-86.4990032866898,40.0367893191019,307.873619073919,41.9644287329459
"2010-2015",-86.4987337921045,40.0367893191019,307.895289555729,41.9482886976976
"2010-2015",-86.4984642975193,40.0367893191019,307.916981118657,41.9321550527639
"2010-2015",-86.4895709762065,40.0367893191019,308.644791104869,41.4033784752573
"2010-2015",-86.4895709762065,40.0365198245167,308.616749940613,41.3817992886123
"2010-2015",-86.4893014816213,40.0365198245167,308.639168068874,41.3658789968289
"2010-2015",-86.4998117704455,40.0354418461758,307.669302457142,41.9066756195054
"2010-2015",-86.4995422758602,40.0354418461758,307.690882658883,41.8904751671
"2010-2015",-86.4871455249394,40.0351723515905,308.67854677362,41.1306403967014
"2010-2015",-86.4914574383032,40.0340943732496,308.207399773838,41.300214191679
"2010-2015",-86.4911879437179,40.0340943732496,308.229618365416,41.284172264801
"2010-2015",-86.4909184491327,40.0340943732496,308.251858853476,41.2681369080773
"2010-2015",-86.4906489545475,40.0340943732496,308.274121263693,41.2521081291665
"2010-2015",-86.4914574383032,40.0338248786643,308.179175443356,41.2787990576337
"2010-2015",-86.4911879437179,40.0338248786643,308.201388742852,41.2627487417681
"2010-2015",-86.4909184491327,40.0338248786643,308.223623950615,41.2467049929942
"2010-2015",-86.4914574383032,40.0327469003234,308.066059178741,41.1932451836564
"2010-2015",-86.4914574383032,40.0324774057382,308.037725318538,41.171883463829
"2010-2015",-86.4914574383032,40.0322079111529,308.009369517448,41.1505324768049
"2010-2015",-86.4777132144561,40.0305909436415,308.996974696618,40.2074226322963
"2010-2015",-86.4774437198709,40.0305909436415,309.020280961011,40.1916143242788
"2010-2015",-86.4771742252857,40.0305909436415,309.0436106464,40.1758129509374
"2010-2015",-86.4769047307004,40.0305909436415,309.066963780362,40.160018520454
"2010-2015",-86.4766352361152,40.0305909436415,309.090340390495,40.1442310410259
"2010-2015",-86.4763657415299,40.0305909436415,309.113740504422,40.1284505208567
"2010-2015",-86.4882235032803,40.030051954471,308.048832220623,40.7865263306984
"2010-2015",-86.4882235032803,40.0297824598858,308.020211006592,40.7651709988981
"2010-2015",-86.4777132144561,40.0297824598858,308.910560876294,40.142323798494
"2010-2015",-86.4755572577742,40.0297824598858,309.097549288648,40.0158450436775
"2010-2015",-86.475287763189,40.0297824598858,309.12102900797,40.0000665377193
"2010-2015",-86.4750182686038,40.0297824598858,309.14453241303,39.9842950233518
"2010-2015",-86.4882235032803,40.0295129653006,307.991567418318,40.7438265137381
"2010-2015",-86.4882235032803,40.0292434707153,307.962901443885,40.7224928922738
"2010-2015",-86.4852590628427,40.0289739761301,308.181639849004,40.5241765729421
"2010-2015",-86.4882235032803,40.0287044815448,307.905502289035,40.6798583087885
"2010-2015",-86.484450579087,40.0287044815448,308.220806431185,40.4546141531723
"2010-2015",-86.4876845141099,40.0284349869596,307.921530403742,40.626282991764
"2010-2015",-86.4847200736723,40.0284349869596,308.16933132353,40.449247788458
"2010-2015",-86.484450579087,40.0284349869596,308.191994852569,40.4331936717058
"2010-2015",-86.4882235032803,40.0281654923744,307.84801344727,40.6372673854302
"2010-2015",-86.4876845141099,40.0281654923744,307.892763370903,40.6049759466843
"2010-2015",-86.4882235032803,40.0278959977891,307.819235364296,40.6159883392257
"2010-2015",-86.4879540086951,40.0278959977891,307.841593359416,40.5998307953109
"2010-2015",-86.4876845141099,40.0278959977891,307.863973838682,40.5836798418061
"2010-2015",-86.4874150195246,40.0278959977891,307.886376829188,40.567535486585
"2010-2015",-86.4871455249394,40.0278959977891,307.908802358052,40.5513977375288
"2010-2015",-86.4852590628427,40.026548524863,307.921870521503,40.3319180590524
"2010-2015",-86.4849895682575,40.026548524863,307.944448935609,40.3157905560503
"2010-2015",-86.4847200736723,40.026548524863,307.967050194744,40.2996697142321
"2010-2015",-86.484450579087,40.026548524863,307.989674326552,40.2835555415947
"2010-2015",-86.4841810845018,40.026548524863,308.012321358707,40.2674480461462
"2010-2015",-86.4839115899166,40.026548524863,308.03499131891,40.251347235901
"2010-2015",-86.4836420953313,40.026548524863,308.057684234887,40.235253118887
"2010-2015",-86.4833726007461,40.026548524863,308.080400134394,40.2191657031376
"2010-2015",-86.4822946224051,40.026548524863,308.171494123776,40.1548832138326
"2010-2015",-86.4820251278199,40.026548524863,308.194325358212,40.1388294252725
"2010-2015",-86.4817556332347,40.026548524863,308.217179743282,40.1227823863882
"2010-2015",-86.4814861386494,40.026548524863,308.240057306932,40.1067421052837
"2010-2015",-86.4812166440642,40.026548524863,308.262958077132,40.090708590069
"2010-2015",-86.4852590628427,40.0262790302777,307.892893338746,40.310610782402
"2010-2015",-86.4849895682575,40.0262790302777,307.915465989959,40.2944746877099
"2010-2015",-86.4847200736723,40.0262790302777,307.938061498395,40.2783452508986
"2010-2015",-86.484450579087,40.0262790302777,307.960679891747,40.2622224799686
"2010-2015",-86.4841810845018,40.0262790302777,307.983321197741,40.2461063829326
"2010-2015",-86.4839115899166,40.0262790302777,308.00598544413,40.2299969678105
"2010-2015",-86.4836420953313,40.0262790302777,308.028672658692,40.2138942426337
"2010-2015",-86.4833726007461,40.0262790302777,308.051382869234,40.1977982154405
"2010-2015",-86.4831031061609,40.0262790302777,308.074116103589,40.1817088942821
"2010-2015",-86.4828336115756,40.0262790302777,308.096872389622,40.165626287216
"2010-2015",-86.4825641169904,40.0262790302777,308.11965175522,40.1495504023118
"2010-2015",-86.4822946224051,40.0262790302777,308.142454228301,40.1334812476465
"2010-2015",-86.4820251278199,40.0262790302777,308.165279836807,40.1174188313085
"2010-2015",-86.4817556332347,40.0262790302777,308.188128608713,40.1013631613942
"2010-2015",-86.4814861386494,40.0262790302777,308.211000572015,40.0853142460115
"2010-2015",-86.4812166440642,40.0262790302777,308.233895754738,40.0692720932758
"2010-2015",-86.4852590628427,40.0260095356925,307.863893326443,40.2893145256444
"2010-2015",-86.4849895682575,40.0260095356925,307.886460187094,40.2731698345878
"2010-2015",-86.4847200736723,40.0260095356925,307.909049917133,40.257031798095
"2010-2015",-86.484450579087,40.0260095356925,307.931662544306,40.2409004241719
"2010-2015",-86.4841810845018,40.0260095356925,307.954298096387,40.2247757208353
"2010-2015",-86.4839115899166,40.0260095356925,307.976956601182,40.2086576961097
"2010-2015",-86.4836420953313,40.0260095356925,307.999638086522,40.1925463580311
"2010-2015",-86.4833726007461,40.0260095356925,308.022342580264,40.1764417146426
"2010-2015",-86.4831031061609,40.0260095356925,308.045070110295,40.1603437739998
"2010-2015",-86.4828336115756,40.0260095356925,308.06782070453,40.144252544165
"2010-2015",-86.4825641169904,40.0260095356925,308.09059439091,40.1281680332126
"2010-2015",-86.4822946224051,40.0260095356925,308.113391197405,40.1120902492236
